username,password,email,expected,actual,result
john123,Pass123$,john@example.com,true,true,PASS
null,pass123,john@example.com,false,false,PASS
alice,short,alice@mail.com,false,false,PASS
bob123,password,bobmail.com,false,false,PASS
carol,password,carol@domain.com,false,false,PASS
khanhnguyen,Password1!,khanh@domain.com,true,true,PASS
dave123,Pass123$,john@example.com,false,false,PASS
john123,NewPass1@,anotherjohn@example.com,false,false,PASS
weakpass,Pass123,weak@gmail.com,false,false,PASS
fe,Pass123@,fe@gmail.com,false,false,PASS
